chunk,Question,Option_A,Option_B,Option_C,Option_D,Answer_Key
"الغذاء والدواء Foods and medicines؛ إذا فكرت في معظم أنواع الأغذية التي
تناولتها في الأيام السابقة – ومنها الجبن واللبن والمخلل وغيرها – فلعلك
تعرف أنها جميعًا صُنعت بمساعدة البكتيريا التي تدخل مثلا في صناعة
الشوكولاتة، وهي وإن لم تكن موجودة في الشوكولاتة التي تتناولها إلا أنها
تستخدم لتحطيم حبوب الكاكاو في أثناء إنتاجه. وهي كذلك مسؤولة عن الإنتاج
التجاري لفيتامين B12 والريبوفلافين. وهي مهمة أيضًا في مجال الأدوية والبحث
العلمي. فعلى الرغم من أن بعضها يسبب المرض إلا أن بعضها مفيد في مقاومة",أي من الأغذية المذكورة يُظهر دور البكتيريا في تحضيره؟,الخبز,الجبن,اللحوم,الخضروات,B
"البكتيريا المسببة للأمراض Disease causing bacteria؛ نسبة صغيرة من أنواع
البكتيريا تسبب الأمراض. ويمكن أن تُحدث البكتيريا الأمراض بإحدى طريقتين؛
فبعضها يتكاثر سريعًا قبل أن تتمكن دفاعات الجسم من القضاء عليها، وقد ينشر
أنواعًا من العدوى الخطيرة في أجزاء أخرى من الجسم.",ما هي الطريقة التي يمكن أن تسبب بها البكتيريا الأمراض في الجسم؟,التكاثر السريع قبل القضاء عليها,إفراز سموم تضر الخلايا,التطفل على خلايا الجسم,التحول إلى فيروس,A
"البكتيريا المسببة للأمراض Disease causing bacteria؛ نسبة صغيرة من أنواع
البكتيريا تسبب الأمراض. ويمكن أن تُحدث البكتيريا الأمراض بإحدى طريقتين؛
فبعضها يتكاثر سريعًا قبل أن تتمكن دفاعات الجسم من القضاء عليها، وقد ينشر
أنواعًا من العدوى الخطيرة في أجزاء أخرى من الجسم.",أي من الخيارات التالية يصف نوع العدوى التي قد تسببها البكتيريا؟,عدوى فيروسية,عدوى فطرية,عدوى خطيرة في أجزاء أخرى من الجسم,عدوى طفيلية,C
"البكتيريا المسببة للأمراض Disease causing bacteria؛ نسبة صغيرة من أنواع
البكتيريا تسبب الأمراض. ويمكن أن تُحدث البكتيريا الأمراض بإحدى طريقتين؛
فبعضها يتكاثر سريعًا قبل أن تتمكن دفاعات الجسم من القضاء عليها، وقد ينشر
أنواعًا من العدوى الخطيرة في أجزاء أخرى من الجسم.",ماذا يحدث عندما تتكاثر البكتيريا بسرعة في الجسم؟,تتحسن المناعة,يتم القضاء عليها بسرعة,تصبح العدوى أقل خطورة,يمكن أن تنتشر العدوى إلى أجزاء أخرى من الجسم,D
"وبعضها الآخر يفرز سُمومًا أو مواد أخرى. فالبكتيريا المسببة لتسمم الغذاء
تفرز سُمًّا يسبب شللا لخلايا الجهاز العصبي. وكذلك يمكن أن تسبب البكتيريا
تجاويف في الأسنان في أثناء استعمالها للسكر الموجود في الفم، حيث تنتج
أحماضًا تسبب تلف الأسنان وتسوسها. ويشير الجدول 1-3 إلى معظم الأمراض التي
تسببها البكتيريا. كما أن بعض أنواع البكتيريا تسبب أمراضا للنباتات تنقل
العدوى، وانطلاقًا من رؤية المملكة 2030 يحاول الباحثون إيجاد طرقٍ لمنع
الأمراض التي تسببها البكتيريا للنبات والحيوان. وللحصول على مزيد من",ما هي المادة التي تفرزها البكتيريا المسببة لتسمم الغذاء؟,أحماض,سُموم,إنزيمات,بروتينات,B
"وبعضها الآخر يفرز سُمومًا أو مواد أخرى. فالبكتيريا المسببة لتسمم الغذاء
تفرز سُمًّا يسبب شللا لخلايا الجهاز العصبي. وكذلك يمكن أن تسبب البكتيريا
تجاويف في الأسنان في أثناء استعمالها للسكر الموجود في الفم، حيث تنتج
أحماضًا تسبب تلف الأسنان وتسوسها. ويشير الجدول 1-3 إلى معظم الأمراض التي
تسببها البكتيريا. كما أن بعض أنواع البكتيريا تسبب أمراضا للنباتات تنقل
العدوى، وانطلاقًا من رؤية المملكة 2030 يحاول الباحثون إيجاد طرقٍ لمنع
الأمراض التي تسببها البكتيريا للنبات والحيوان. وللحصول على مزيد من",أي من الأمراض التالية يمكن أن تسببها البكتيريا للنباتات؟,تسوس الأسنان,الإنفلونزا,الأمراض الفطرية,الأمراض البكتيرية,D
"وبعضها الآخر يفرز سُمومًا أو مواد أخرى. فالبكتيريا المسببة لتسمم الغذاء
تفرز سُمًّا يسبب شللا لخلايا الجهاز العصبي. وكذلك يمكن أن تسبب البكتيريا
تجاويف في الأسنان في أثناء استعمالها للسكر الموجود في الفم، حيث تنتج
أحماضًا تسبب تلف الأسنان وتسوسها. ويشير الجدول 1-3 إلى معظم الأمراض التي
تسببها البكتيريا. كما أن بعض أنواع البكتيريا تسبب أمراضا للنباتات تنقل
العدوى، وانطلاقًا من رؤية المملكة 2030 يحاول الباحثون إيجاد طرقٍ لمنع
الأمراض التي تسببها البكتيريا للنبات والحيوان. وللحصول على مزيد من",ما هو التأثير الذي تسببه البكتيريا على الأسنان؟,تكون التجاويف,تحسين صحة اللثة,زيادة قوة الأسنان,تبييض الأسنان,A
"الامراض التي تسببها البكتيريا:

الأمراض التنفسية: ذات الرئة، السعال الديكي، السل، الجمرة الخبيثة.

أمراض الجلد: حب الشباب، البثور.

أمراض القناة الهضمية: أنواع عديدة من تسمم الغذاء، الكوليرا.

أمراض الجهاز العصبي: التسمم الوشيقي (البوتوليني)، التيتانوس، التهاب
السحايا.

أمراض تنتقل بواسطة الجنس: السفلس (الزهري)، السيلان.

أمراض أخرى: مرض لايم، حمى التيفوئيد.

الدرس ٣-٢ :",أي من الأمراض التالية يعتبر مرضا تنفسيا تسببه البكتيريا؟,حب الشباب,السعال الديكي,حمى التيفوئيد,السفلس,B
"الامراض التي تسببها البكتيريا:

الأمراض التنفسية: ذات الرئة، السعال الديكي، السل، الجمرة الخبيثة.

أمراض الجلد: حب الشباب، البثور.

أمراض القناة الهضمية: أنواع عديدة من تسمم الغذاء، الكوليرا.

أمراض الجهاز العصبي: التسمم الوشيقي (البوتوليني)، التيتانوس، التهاب
السحايا.

أمراض تنتقل بواسطة الجنس: السفلس (الزهري)، السيلان.

أمراض أخرى: مرض لايم، حمى التيفوئيد.

الدرس ٣-٢ :",ما هو المرض الذي يسببه التسمم الوشيقي؟,السل,التهاب السحايا,التسمم الغذائي,التسمم الوشيقي (البوتوليني),D
"الامراض التي تسببها البكتيريا:

الأمراض التنفسية: ذات الرئة، السعال الديكي، السل، الجمرة الخبيثة.

أمراض الجلد: حب الشباب، البثور.

أمراض القناة الهضمية: أنواع عديدة من تسمم الغذاء، الكوليرا.

أمراض الجهاز العصبي: التسمم الوشيقي (البوتوليني)، التيتانوس، التهاب
السحايا.

أمراض تنتقل بواسطة الجنس: السفلس (الزهري)، السيلان.

أمراض أخرى: مرض لايم، حمى التيفوئيد.

الدرس ٣-٢ :",أي من الأمراض التالية تنتمي إلى الأمراض الجلدية؟,الكوليرا,حب الشباب,التيتانوس,الجمرة الخبيثة,B
"الدرس ٣-٢ :

الفكرة الرئيسية: الفيروسات والبريونات أصغر وأقل تعقيداً من البكتيريا في
تركيبها، وهي تهاجم الخلايا، ويمكن أن تغير الوظائف الخلوية.

الربط مع الحياة: تحمل لنا الأخبار كل يوم قصصاً عن انتشار الأمراض في
العالم، فهناك خبر عن الرشح، وآخر عن إنفلونزا الطيور أو الخنازير، وثالث
عن مرض سارس. ما المشترك بين هذه الأمراض؟ جميعها تسببها فيروسات.",أي من الفيروسات التالية يُعتبر سبباً لمرض إنفلونزا الطيور؟,فيروس الأنفلونزا,فيروس الهربس,فيروس نقص المناعة,فيروس كورونا,A
"الدرس ٣-٢ :

الفكرة الرئيسية: الفيروسات والبريونات أصغر وأقل تعقيداً من البكتيريا في
تركيبها، وهي تهاجم الخلايا، ويمكن أن تغير الوظائف الخلوية.

الربط مع الحياة: تحمل لنا الأخبار كل يوم قصصاً عن انتشار الأمراض في
العالم، فهناك خبر عن الرشح، وآخر عن إنفلونزا الطيور أو الخنازير، وثالث
عن مرض سارس. ما المشترك بين هذه الأمراض؟ جميعها تسببها فيروسات.",ما هي الكائنات الحية التي تعتبر أقل تعقيداً من البكتيريا؟,الفطريات,البريونات,الطحالب,الديدان,B
"الدرس ٣-٢ :

الفكرة الرئيسية: الفيروسات والبريونات أصغر وأقل تعقيداً من البكتيريا في
تركيبها، وهي تهاجم الخلايا، ويمكن أن تغير الوظائف الخلوية.

الربط مع الحياة: تحمل لنا الأخبار كل يوم قصصاً عن انتشار الأمراض في
العالم، فهناك خبر عن الرشح، وآخر عن إنفلونزا الطيور أو الخنازير، وثالث
عن مرض سارس. ما المشترك بين هذه الأمراض؟ جميعها تسببها فيروسات.",ما هي الوظيفة الأساسية للفيروسات؟,تغذية الخلايا,تغيير الوظائف الخلوية,تكوين الأنسجة,توليد الطاقة,B
"الفيروسات Viruses على الرغم من أن بعض الفيروسات ليس ضاراً، إلا أن بعضها
الآخر يسبب العدوى والضرر لأنواع المخلوقات الحية كافة. الفيروس virus
عبارة عن شريط غير حي من مادة وراثية يقع ضمن غلاف من البروتين. ومعظم
علماء الأحياء لا يعدون الفيروسات حية؛ إذ لا يتحقق فيها جميع خصائص
الحياة. فالفيروسات ليس لديها عضيات لتحصل على المواد الغذائية أو لتستخدم
الطاقة، ولا تستطيع تكوين البروتينات، وهي لا تتحرك ولا تتكاثر بنفسها دون
الاعتماد على المخلوقات الأخرى. وقد تشبه بعض الفيروسات - مثلها في ذلك مثل",ما هو السبب الرئيسي الذي يجعل العلماء يعتبرون الفيروسات غير حية؟,لأنها تستطيع الحركة,لأنها تحتوي على عضيات,لأنها لا تستطيع التكاثر دون الاعتماد على مخلوقات أخرى,لأنها تنتج الطاقة بنفسها,C
"الفيروسات Viruses على الرغم من أن بعض الفيروسات ليس ضاراً، إلا أن بعضها
الآخر يسبب العدوى والضرر لأنواع المخلوقات الحية كافة. الفيروس virus
عبارة عن شريط غير حي من مادة وراثية يقع ضمن غلاف من البروتين. ومعظم
علماء الأحياء لا يعدون الفيروسات حية؛ إذ لا يتحقق فيها جميع خصائص
الحياة. فالفيروسات ليس لديها عضيات لتحصل على المواد الغذائية أو لتستخدم
الطاقة، ولا تستطيع تكوين البروتينات، وهي لا تتحرك ولا تتكاثر بنفسها دون
الاعتماد على المخلوقات الأخرى. وقد تشبه بعض الفيروسات - مثلها في ذلك مثل",أي من الآتي يعتبر جزءًا من تركيب الفيروس؟,غلاف من البروتين,خلايا حية,أعضاء حيوية,حمض نووي مزدوج,A
"الفيروسات Viruses على الرغم من أن بعض الفيروسات ليس ضاراً، إلا أن بعضها
الآخر يسبب العدوى والضرر لأنواع المخلوقات الحية كافة. الفيروس virus
عبارة عن شريط غير حي من مادة وراثية يقع ضمن غلاف من البروتين. ومعظم
علماء الأحياء لا يعدون الفيروسات حية؛ إذ لا يتحقق فيها جميع خصائص
الحياة. فالفيروسات ليس لديها عضيات لتحصل على المواد الغذائية أو لتستخدم
الطاقة، ولا تستطيع تكوين البروتينات، وهي لا تتحرك ولا تتكاثر بنفسها دون
الاعتماد على المخلوقات الأخرى. وقد تشبه بعض الفيروسات - مثلها في ذلك مثل",ما هي إحدى الخصائص التي تفتقر إليها الفيروسات؟,القدرة على تكوين البروتينات,القدرة على التكاثر,القدرة على الحركة,القدرة على الحصول على الغذاء,A
"البكتيريا - أمراضاً للإنسان، ومنها الأمراض المبينة في الجدول 2-3، ومنها
القوباء التناسلية والإيدز اللذان تزداد فرصة انتقالهما عن طريق الاتصال
الجنسي المحرم، وتعاطي المخدرات، ونقل الدم، والتعرض للجروح بأدوات ملوثة
عند محال الحلاقة. ومثل هذه الأمراض لم يعرف لها علاج أو لقاح حتى الآن.
ومن فضل الله علينا أن شرع لنا الزواج طريقاً شرعياً يجمع بين الرجل والمرأة،
وحرصاً عليه؛ حماية للفرد والمجتمع من الأمراض الجسدية والنفسية قال تعالى:",أي من الأمراض التالية يرتبط بشكل أكبر بالاتصال الجنسي المحرم؟,الإيدز,الملاريا,الحصبة,التيفوئيد,A
"البكتيريا - أمراضاً للإنسان، ومنها الأمراض المبينة في الجدول 2-3، ومنها
القوباء التناسلية والإيدز اللذان تزداد فرصة انتقالهما عن طريق الاتصال
الجنسي المحرم، وتعاطي المخدرات، ونقل الدم، والتعرض للجروح بأدوات ملوثة
عند محال الحلاقة. ومثل هذه الأمراض لم يعرف لها علاج أو لقاح حتى الآن.
ومن فضل الله علينا أن شرع لنا الزواج طريقاً شرعياً يجمع بين الرجل والمرأة،
وحرصاً عليه؛ حماية للفرد والمجتمع من الأمراض الجسدية والنفسية قال تعالى:",ما هي الطريقة الشرعية التي شرعها الله لحماية الأفراد من الأمراض؟,الزواج,الطلاق,الصداقة,العزوبية,A
"البكتيريا - أمراضاً للإنسان، ومنها الأمراض المبينة في الجدول 2-3، ومنها
القوباء التناسلية والإيدز اللذان تزداد فرصة انتقالهما عن طريق الاتصال
الجنسي المحرم، وتعاطي المخدرات، ونقل الدم، والتعرض للجروح بأدوات ملوثة
عند محال الحلاقة. ومثل هذه الأمراض لم يعرف لها علاج أو لقاح حتى الآن.
ومن فضل الله علينا أن شرع لنا الزواج طريقاً شرعياً يجمع بين الرجل والمرأة،
وحرصاً عليه؛ حماية للفرد والمجتمع من الأمراض الجسدية والنفسية قال تعالى:",أي من الخيارات التالية يعتبر من وسائل انتقال الأمراض المذكورة؟,السباحة في البحر,تعاطي المخدرات,تناول الفواكه,الجلوس في المنزل,B
"حجم الفيروس Virus size تعد الفيروسات من أصغر التراكيب المسببة للمرض؛ فهي
لا تُرى إلا بأقوى المجاهر الإلكترونية؛ إذ يتراوح حجمها بين 5 - 300
نانومتر. وقد نحتاج إلى 10,000 فيروس من فيروسات الرشح لتغطية النقطة
الموجودة في نهاية هذه الجملة.",ما هو نطاق حجم الفيروسات كما هو موضح في النص؟,1 - 100 نانومتر,5 - 300 نانومتر,50 - 500 نانومتر,10 - 200 نانومتر,B
"حجم الفيروس Virus size تعد الفيروسات من أصغر التراكيب المسببة للمرض؛ فهي
لا تُرى إلا بأقوى المجاهر الإلكترونية؛ إذ يتراوح حجمها بين 5 - 300
نانومتر. وقد نحتاج إلى 10,000 فيروس من فيروسات الرشح لتغطية النقطة
الموجودة في نهاية هذه الجملة.",كم عدد الفيروسات المطلوبة لتغطية النقطة الموجودة في نهاية الجملة؟,1000 فيروس,5000 فيروس,"10,000 فيروس","20,000 فيروس",C
"حجم الفيروس Virus size تعد الفيروسات من أصغر التراكيب المسببة للمرض؛ فهي
لا تُرى إلا بأقوى المجاهر الإلكترونية؛ إذ يتراوح حجمها بين 5 - 300
نانومتر. وقد نحتاج إلى 10,000 فيروس من فيروسات الرشح لتغطية النقطة
الموجودة في نهاية هذه الجملة.",أي من الآتي يعتبر من خصائص الفيروسات؟,تستطيع التكاثر خارج الخلايا,تعتبر من أكبر الكائنات الحية,تحتاج إلى مجاهر إلكترونية لرؤيتها,تعيش في بيئات قاسية,C
"تركيب الفيروس Virus structure يبين الشكل 3-12 تركيب الفيروس الغدي وفيروس
آكل البكتيريا وفيروس تبرقش أوراق نبات التبغ. تسبب العدوى بالفيروس الغدي
(الرشح)، أما الفيروسات الأخرى فتسبب الأمراض المرتبطة باسمها. وتكون
الطبقة الخارجية لهذه الفيروسات كلها من البروتينات، وتسمى محفظة الفيروس
capsid، ويوجد داخلها المادة الوراثية التي يمكن أن تكون DNA أو RNA، لا
كليهما. وتصنف الفيروسات عادة وفق نوع الحمض النووي الذي تحتويه.",ما هي المادة الوراثية التي يمكن أن تحتويها الفيروسات؟,DNA فقط,RNA فقط,DNA أو RNA,بروتينات,C
"تركيب الفيروس Virus structure يبين الشكل 3-12 تركيب الفيروس الغدي وفيروس
آكل البكتيريا وفيروس تبرقش أوراق نبات التبغ. تسبب العدوى بالفيروس الغدي
(الرشح)، أما الفيروسات الأخرى فتسبب الأمراض المرتبطة باسمها. وتكون
الطبقة الخارجية لهذه الفيروسات كلها من البروتينات، وتسمى محفظة الفيروس
capsid، ويوجد داخلها المادة الوراثية التي يمكن أن تكون DNA أو RNA، لا
كليهما. وتصنف الفيروسات عادة وفق نوع الحمض النووي الذي تحتويه.",ما هي الطبقة الخارجية للفيروسات التي تحمي المادة الوراثية؟,الغلاف,المحفظة,الهيكل الخلوي,الشغاف,B
"تركيب الفيروس Virus structure يبين الشكل 3-12 تركيب الفيروس الغدي وفيروس
آكل البكتيريا وفيروس تبرقش أوراق نبات التبغ. تسبب العدوى بالفيروس الغدي
(الرشح)، أما الفيروسات الأخرى فتسبب الأمراض المرتبطة باسمها. وتكون
الطبقة الخارجية لهذه الفيروسات كلها من البروتينات، وتسمى محفظة الفيروس
capsid، ويوجد داخلها المادة الوراثية التي يمكن أن تكون DNA أو RNA، لا
كليهما. وتصنف الفيروسات عادة وفق نوع الحمض النووي الذي تحتويه.",ما هو الفيروس الذي يسبب الرشح؟,فيروس تبرقش أوراق نبات التبغ,فيروس آكل البكتيريا,الفيروس الغدي,فيروس الإنفلونزا,C
"وضع العلماء في الوقت الحاضر عدة نظريات عن طبيعة الفيروسات. فقد وجد
العلماء أن المادة الوراثية للفيروسات شبيهة بالجينات الخلوية، وأن الله
سبحانه وتعالى قد منح هذه الجينات القدرة على أن توجد خارج الخلايا. ومن
الفيروس المسبب للجدري فيروس يحتوي على DNA. وقد تفشى الجدري في التجمعات
البشرية منذ آلاف السنين. وقد نجح برنامج التطعيم بعون الله وتوفيقه، في
القضاء على المرض تماماً، حتى توقف الآن. لمزيد من المعلومات عن التطعيمات
التي توفرها وزارة الصحة ارجع إلى موقع البوابة الإلكترونية لوزارة الصحة",ما هي المادة الوراثية الموجودة في فيروس الجدري؟,RNA,DNA,بروتين,كربوهيدرات,B
"وضع العلماء في الوقت الحاضر عدة نظريات عن طبيعة الفيروسات. فقد وجد
العلماء أن المادة الوراثية للفيروسات شبيهة بالجينات الخلوية، وأن الله
سبحانه وتعالى قد منح هذه الجينات القدرة على أن توجد خارج الخلايا. ومن
الفيروس المسبب للجدري فيروس يحتوي على DNA. وقد تفشى الجدري في التجمعات
البشرية منذ آلاف السنين. وقد نجح برنامج التطعيم بعون الله وتوفيقه، في
القضاء على المرض تماماً، حتى توقف الآن. لمزيد من المعلومات عن التطعيمات
التي توفرها وزارة الصحة ارجع إلى موقع البوابة الإلكترونية لوزارة الصحة",ما هو تأثير برنامج التطعيم ضد الجدري؟,تسبب في انتشار المرض,أدى إلى القضاء على المرض,زاد من عدد المصابين,لم يؤثر على المرض,B
"وضع العلماء في الوقت الحاضر عدة نظريات عن طبيعة الفيروسات. فقد وجد
العلماء أن المادة الوراثية للفيروسات شبيهة بالجينات الخلوية، وأن الله
سبحانه وتعالى قد منح هذه الجينات القدرة على أن توجد خارج الخلايا. ومن
الفيروس المسبب للجدري فيروس يحتوي على DNA. وقد تفشى الجدري في التجمعات
البشرية منذ آلاف السنين. وقد نجح برنامج التطعيم بعون الله وتوفيقه، في
القضاء على المرض تماماً، حتى توقف الآن. لمزيد من المعلومات عن التطعيمات
التي توفرها وزارة الصحة ارجع إلى موقع البوابة الإلكترونية لوزارة الصحة",ما هي إحدى الخصائص التي وجدها العلماء في الفيروسات؟,لا تحتوي على مادة وراثية,تشبه الجينات الخلوية,تعيش فقط داخل الخلايا,تحتوي على بروتينات فقط,B
"العدوى الفيروسية Viral Infection : لا بد من دخول الفيروس إلى خلية العائل
لكي يتكاثر؛ إذ يلتصق الفيروس أولاً بالخلية المضيفة باستخدام مستقبلات
محددة على الغشاء البلازمي لها. وتوجد مستقبلات محددة لأنواع معينة من
الفيروسات في المخلوقات المختلفة. ويفسر هذا عدم قدرة العديد من الفيروسات
على الانتقال بين الأنواع المختلفة. وعندما يلتصق الفيروس بنجاح بخلية
العائل تدخل مادة الفيروس الوراثية إلى سيتوبلازم الخلية. وفي بعض الحالات
يدخل الفيروس بأكمله إلى خلية العائل، وتتحطم المحفظة بسرعة، مما يُعرِّي",ما هو السبب الرئيسي لعدم قدرة العديد من الفيروسات على الانتقال بين الأنواع المختلفة؟,لأنها تحتاج إلى مستقبلات محددة على الغشاء البلازمي.,لأنها تتكاثر بسرعة في الخلايا.,لأنها تدمر الخلايا المضيفة بسرعة.,لأنها تنتشر عن طريق الهواء فقط.,A
"العدوى الفيروسية Viral Infection : لا بد من دخول الفيروس إلى خلية العائل
لكي يتكاثر؛ إذ يلتصق الفيروس أولاً بالخلية المضيفة باستخدام مستقبلات
محددة على الغشاء البلازمي لها. وتوجد مستقبلات محددة لأنواع معينة من
الفيروسات في المخلوقات المختلفة. ويفسر هذا عدم قدرة العديد من الفيروسات
على الانتقال بين الأنواع المختلفة. وعندما يلتصق الفيروس بنجاح بخلية
العائل تدخل مادة الفيروس الوراثية إلى سيتوبلازم الخلية. وفي بعض الحالات
يدخل الفيروس بأكمله إلى خلية العائل، وتتحطم المحفظة بسرعة، مما يُعرِّي",ماذا يحدث بعد أن يلتصق الفيروس بنجاح بخلية العائل؟,يدخل الفيروس إلى النواة مباشرة.,تدخل مادة الفيروس الوراثية إلى سيتوبلازم الخلية.,تبدأ الخلية في إنتاج الأجسام المضادة.,تتحطم الخلية المضيفة على الفور.,B
"العدوى الفيروسية Viral Infection : لا بد من دخول الفيروس إلى خلية العائل
لكي يتكاثر؛ إذ يلتصق الفيروس أولاً بالخلية المضيفة باستخدام مستقبلات
محددة على الغشاء البلازمي لها. وتوجد مستقبلات محددة لأنواع معينة من
الفيروسات في المخلوقات المختلفة. ويفسر هذا عدم قدرة العديد من الفيروسات
على الانتقال بين الأنواع المختلفة. وعندما يلتصق الفيروس بنجاح بخلية
العائل تدخل مادة الفيروس الوراثية إلى سيتوبلازم الخلية. وفي بعض الحالات
يدخل الفيروس بأكمله إلى خلية العائل، وتتحطم المحفظة بسرعة، مما يُعرِّي",ما هي الخطوة الأولى التي يقوم بها الفيروس عند دخوله إلى خلية العائل؟,يتكاثر داخل النواة.,يلتصق بالخلية المضيفة باستخدام مستقبلات محددة.,يبدأ في تدمير الخلية المضيفة.,ينتشر في جميع أنحاء الجسم.,B
"دورة التحلل Lytic cycle : في دورة التحلل تنتج خلايا العائل نُسَخًا عديدة من
DNA أو RNA للفيروس، ثم تقوم جينات الفيروس بتوجيه خلية العائل لتصنع
العديد من بروتين محفظة الفيروس والإنزيمات الضرورية لتكاثر الفيروس. وتكون
البروتينات حول الأحماض النووية للفيروسات الجديدة، فتغادر الفيروسات خلية
العائل، إما بالخروج الخلوي أو بانفجار الخلية، أو تحللها، مما يحرر
الفيروسات الجديدة التي قد تصيب خلايا جديدة. والفيروسات التي تتكاثر بهذه",ما الذي يحدث في دورة التحلل عندما تتكاثر الفيروسات؟,تخرج الفيروسات من الخلية عن طريق الانقسام الخلوي.,تتجمع الفيروسات داخل النواة.,تغادر الفيروسات خلية العائل إما بالخروج الخلوي أو بانفجار الخلية.,تتحلل الفيروسات داخل الخلية دون أن تخرج.,C
"دورة التحلل Lytic cycle : في دورة التحلل تنتج خلايا العائل نُسَخًا عديدة من
DNA أو RNA للفيروس، ثم تقوم جينات الفيروس بتوجيه خلية العائل لتصنع
العديد من بروتين محفظة الفيروس والإنزيمات الضرورية لتكاثر الفيروس. وتكون
البروتينات حول الأحماض النووية للفيروسات الجديدة، فتغادر الفيروسات خلية
العائل، إما بالخروج الخلوي أو بانفجار الخلية، أو تحللها، مما يحرر
الفيروسات الجديدة التي قد تصيب خلايا جديدة. والفيروسات التي تتكاثر بهذه",ما هو الهدف من إنتاج بروتين محفظة الفيروس في دورة التحلل؟,لحماية الأحماض النووية للفيروس.,لتوجيه الخلية لصنع إنزيمات جديدة.,لإحاطة الأحماض النووية للفيروسات الجديدة.,لتدمير الخلية العائل.,C
"دورة التحلل Lytic cycle : في دورة التحلل تنتج خلايا العائل نُسَخًا عديدة من
DNA أو RNA للفيروس، ثم تقوم جينات الفيروس بتوجيه خلية العائل لتصنع
العديد من بروتين محفظة الفيروس والإنزيمات الضرورية لتكاثر الفيروس. وتكون
البروتينات حول الأحماض النووية للفيروسات الجديدة، فتغادر الفيروسات خلية
العائل، إما بالخروج الخلوي أو بانفجار الخلية، أو تحللها، مما يحرر
الفيروسات الجديدة التي قد تصيب خلايا جديدة. والفيروسات التي تتكاثر بهذه",كيف تؤثر الفيروسات الجديدة على خلايا العائل؟,تساعد في نمو الخلايا العائلية.,تصيب خلايا جديدة بعد خروجها من الخلية العائل.,تزيد من عدد الخلايا العائلية.,تقلل من قدرة الخلايا العائلية على التكاثر.,B
"الدورة الاندماجية Lysogenic cycle في بعض الحالات يدخل DNA الخاص بالفيروس
إلى نواة الخلية العائل، حيث يندمج مع كروموسوم خلية العائل، الشكل 3-13.
وعندما يحدث ذلك يصبح DNA الفيروس دائمًا من كروموسوم الخلية العائل؛ حيث
تبقى جينات الفيروس كامنة أشهرًا أو سنوات، لكنها قد تنشط لاحقًا بسبب عوامل
مختلفة لتحدث الدورة الاندماجية. وعندها تقوم جينات الفيروس بتوجيه الخلية
العائل لإنتاج مزيد من الفيروسات؛ حيث تخرج الفيروسات الجديدة من الخلية،
إما بانفجار الخلية، أو عن طريق الإخراج الخلوي. يتكاثر العديد من",ما هي النتيجة المحتملة لدخول DNA الفيروس إلى نواة الخلية العائل؟,يتكامل مع كروموسوم الخلية العائل.,يتم تدميره على الفور.,يبدأ في التكاثر مباشرة.,يصبح غير نشط تمامًا.,A
"الدورة الاندماجية Lysogenic cycle في بعض الحالات يدخل DNA الخاص بالفيروس
إلى نواة الخلية العائل، حيث يندمج مع كروموسوم خلية العائل، الشكل 3-13.
وعندما يحدث ذلك يصبح DNA الفيروس دائمًا من كروموسوم الخلية العائل؛ حيث
تبقى جينات الفيروس كامنة أشهرًا أو سنوات، لكنها قد تنشط لاحقًا بسبب عوامل
مختلفة لتحدث الدورة الاندماجية. وعندها تقوم جينات الفيروس بتوجيه الخلية
العائل لإنتاج مزيد من الفيروسات؛ حيث تخرج الفيروسات الجديدة من الخلية،
إما بانفجار الخلية، أو عن طريق الإخراج الخلوي. يتكاثر العديد من",ما الذي يمكن أن يحدث بعد أن يصبح DNA الفيروس جزءًا من كروموسوم الخلية العائل؟,يمكن أن تنشط جينات الفيروس لاحقًا.,لا يحدث أي تغيير في الخلية العائل.,يتم إزالة DNA الفيروس تلقائيًا.,تتحول الخلية العائل إلى خلية فيروسية.,A
"الدورة الاندماجية Lysogenic cycle في بعض الحالات يدخل DNA الخاص بالفيروس
إلى نواة الخلية العائل، حيث يندمج مع كروموسوم خلية العائل، الشكل 3-13.
وعندما يحدث ذلك يصبح DNA الفيروس دائمًا من كروموسوم الخلية العائل؛ حيث
تبقى جينات الفيروس كامنة أشهرًا أو سنوات، لكنها قد تنشط لاحقًا بسبب عوامل
مختلفة لتحدث الدورة الاندماجية. وعندها تقوم جينات الفيروس بتوجيه الخلية
العائل لإنتاج مزيد من الفيروسات؛ حيث تخرج الفيروسات الجديدة من الخلية،
إما بانفجار الخلية، أو عن طريق الإخراج الخلوي. يتكاثر العديد من",كيف تخرج الفيروسات الجديدة من الخلية العائل بعد التكاثر؟,عن طريق الانفجار الخلوي أو الإخراج الخلوي.,تدخل إلى نواة الخلية العائل.,تتحلل داخل السيتوبلازم.,تتجمع في السيتوبلازم.,A
